beta,Ns,Nt,xi_in,nape,alpha,cores,betaone,fraction,skip,meas,nsave,offset,every,startheat,
1.65,16,16,1,0,1,8,1.7,0.5,500,300000,50,0,1,1,
1.7,16,16,1,0,1,1,1.7,0.5,250,999900,100,0,1,1,
1.59,16,20,0.8,0,1,5,1.7,0.5,500,100000,50,0,1,1,
1.6,16,20,0.8,0,1,5,1.7,0.5,500,100000,50,0,1,1,
1.615,16,20,0.8,0,1,5,1.7,0.5,500,100000,50,0,1,1,
1.63,16,20,0.8,0,1,5,1.7,0.5,500,100000,50,0,1,1,
1.64,16,20,0.8,0,1,1,1.7,0.5,250,999900,100,0,1,1,
1.65,16,20,0.8,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.6521,16,20,0.8,0,1,5,1.7,0.5,250,100000,50,0,1,1,
1.665,16,20,0.8,0,1,5,1.7,0.5,500,100000,50,0,1,1,
1.7,16,20,0.8,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.75,16,20,0.8,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.54,16,24,0.666667,0,1,1,1.7,0.5,250,299900,100,0,1,1,
1.555,16,24,0.666666666666667,0,1,8,1.7,0.5,250,200000,50,0,1,1,
1.56,16,24,0.666666666666667,0,1,8,1.7,0.5,250,200000,50,0,1,1,
1.565,16,24,0.666667,0,1,6,1.7,0.5,500,100000,50,0,1,1,
1.58,16,24,0.666667,0,1,1,1.7,0.5,250,299900,100,0,1,1,
1.595,16,24,0.666667,0,1,1,1.7,0.5,250,799900,100,0,1,1,
1.6,16,24,0.666667,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.6075,16,24,0.666666666666667,0,1,8,1.7,0.5,250,100000,50,0,1,1,
1.7,16,24,0.666667,0,1,1,1.7,0.5,500,100000,50,0,1,1,
1.49,16,32,0.5,0,1,1,1.7,0.5,250,299900,100,0,1,1,
1.515,16,32,0.5,0,1,8,1.7,0.5,500,100000,50,0,1,1,
1.525,16,32,0.5,0,1,1,1.7,0.5,250,500000,100,0,1,1,
1.53,16,32,0.5,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.54,16,32,0.5,0,1,8,1.7,0.5,250,300000,50,0,1,1,
1.55,16,32,0.5,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.555,16,32,0.5,0,1,8,1.7,0.5,250,300000,50,0,1,1,
1.56,16,32,0.5,0,1,8,1.7,0.5,250,300000,50,0,1,1,
1.575,16,32,0.5,0,1,8,1.7,0.5,250,300000,50,0,1,1,
1.7,16,32,0.5,0,1,1,1.7,0.5,500,100000,50,0,1,1,
1.45,16,40,0.4,0,1,5,1.7,0.5,500,300000,50,0,1,1,
1.46,16,40,0.4,0,1,5,1.7,0.5,500,150000,50,0,1,1,
1.47,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.48,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.495,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.511,16,40,0.4,0,1,10,1.7,0.5,250,100000,50,0,1,1,
1.52,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.525,16,40,0.4,0,1,5,1.7,0.5,500,150000,50,0,1,1,
1.55,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.57,16,40,0.4,0,1,1,1.7,0.5,500,300000,50,0,1,1,
1.7,16,40,0.4,0,1,1,1.7,0.5,500,100000,50,0,2,1,
1.43,16,48,0.333333,0,1,8,1.7,0.5,1000,800000,50,0,1,1,
1.44,16,48,0.333333,0,1,8,1.7,0.5,1000,800000,50,0,1,1,
1.45,16,48,0.333333,0,1,8,1.7,0.5,1000,200000,50,0,1,1,
1.46,16,48,0.333333,0,1,8,1.7,0.5,1000,800000,50,0,1,1,
1.47,16,48,0.333333,0,1,1,1.7,0.5,250,500000,100,0,1,1,
1.48,16,48,0.333333,0,1,1,1.7,0.5,250,299900,100,0,1,1,
1.4814,16,48,0.333333333333333,0,1,8,1.7,0.5,500,200000,50,0,1,1,
1.5,16,48,0.333333,0,1,8,1.7,0.5,1000,200000,50,0,1,1,
1.51,16,48,0.333333,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.515,16,48,0.333333,0,1,8,1.7,0.5,1000,800000,50,0,1,1,
1.55,16,48,0.333333,0,1,1,1.7,0.5,250,499900,100,0,1,1,
1.7,16,48,0.333333,0,1,1,1.7,0.5,500,100000,50,0,1,1,
1.4,16,64,0.25,0,1,16,1.7,0.5,2000,900000,50,0,1,1,
1.415,16,64,0.25,0,1,16,1.7,0.5,1000,1000000,100,0,1,1,
1.42,16,64,0.25,0,1,16,1.7,0.5,1000,1000000,100,0,1,1,
1.43,16,64,0.25,0,1,16,1.7,0.5,2000,1200000,50,0,1,1,
1.4378,16,64,0.25,0,1,16,1.7,0.5,1000,900000,50,0,1,1,
1.45,16,64,0.25,0,1,16,1.7,0.5,2000,300000,50,0,1,1,
1.46,16,64,0.25,0,1,1,1.7,0.5,500,299900,100,0,1,1,
1.47,16,64,0.25,0,1,1,1.7,0.5,500,299900,100,0,1,1,
1.49,16,64,0.25,0,1,16,1.7,0.5,1000,1000000,100,0,1,1,
1.5,16,64,0.25,0,1,16,1.7,0.5,1000,1000000,100,0,1,1,
1.53,16,64,0.25,0,1,1,1.7,0.5,1000,1000000,100,0,1,1,
1.7,16,64,0.25,0,1,1,1.7,0.5,1000,100000,50,0,1,1,probably_not_thermalized
