beta,Ns,Nt,xi_in,nape,alpha,cores,betaone,fraction,skip,meas,nsave,offset,every,startheat
1.6,3,20,0.8,0,1,5,1.7,1,1333,800000,100,0,1,1
1.615,3,20,0.8,0,1,16,1.7,1,1333,800000,100,0,1,1
1.64,3,20,0.8,0,1,5,1.7,1,1333,800000,100,0,1,1
1.6521,3,20,0.8,0,1,5,1.7,1,1333,800000,100,0,1,1
1.56,3,24,0.666666666666667,0,1,6,1.7,1,1333,800000,100,0,1,1
1.5614,3,24,0.666666666666667,0,1,6,1.7,1,1333,800000,100,0,1,1
1.565,3,24,0.666666666666667,0,1,6,1.7,1,1333,800000,100,0,1,1
1.6,3,24,0.666666666666667,0,1,6,1.7,1,1333,800000,100,0,1,1
1.6075,3,24,0.666666666666667,0,1,6,1.7,1,1333,800000,100,0,1,1
1.49,3,32,0.5,0,1,8,1.7,1,1333,1066666.66666667,100,0,1,1
1.515,3,32,0.5,0,1,8,1.7,1,1333,1066666.66666667,100,0,1,1
1.5381,3,32,0.5,0,1,8,1.7,1,1333,1066666.66666667,100,0,1,1
1.5514,3,32,0.5,0,1,8,1.7,1,1333,1066666.66666667,100,0,1,1
1.555,3,32,0.5,0,1,8,1.7,1,1333,1066666.66666667,100,0,1,1
1.46,3,40,0.4,0,1,5,1.7,1,2666,1600000,100,0,1,1
1.4638,3,40,0.4,0,1,5,1.7,1,2666,1600000,100,0,1,1
1.47,3,40,0.4,0,1,8,1.7,1,2666,1600000,100,0,1,1
1.48,3,40,0.4,0,1,5,1.7,1,2666,1600000,100,0,1,1
1.52,3,40,0.4,0,1,8,1.7,1,2666,1600000,100,0,1,1
1.525,3,40,0.4,0,1,5,1.7,1,2666,1600000,100,0,1,1
1.525,3,40,0.4,0,1,5,1.7,1,2666,1600000,100,0,1,1
1.44,3,48,0.333333333333333,0,1,12,1.7,1,5333,4000000,100,0,1,1
1.4406,3,48,0.333333333333333,0,1,12,1.7,1,5333,4000000,100,0,1,1
1.45,3,48,0.333333333333333,0,1,12,1.7,1,5333,4000000,100,0,1,1
1.4814,3,48,0.333333333333333,0,1,12,1.7,1,5333,4000000,100,0,1,1
1.5,3,48,0.333333333333333,0,1,12,1.7,1,5333,4000000,100,0,1,1
1.42,3,64,0.25,0,1,16,1.7,1,10666,5333333.33333333,100,0,1,1
1.49,3,64,0.25,0,1,16,1.7,1,10666,5333333.33333333,100,0,1,1
