beta,Ns,Nt,xi_in,nape,alpha,cores,cpu,limit,betaone,Ntone,fraction,skip,meas,nsave,offset,every,n_overrelax,n_heatbath,n_over_t,n_heat_t,startheat,steps_therm,n_gauge_eff,L=3_available,nconf/l
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,1,1,0,0,1,5000,9500,1,1833
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,2,1,0,0,1,5000,9500,1,1833
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,3,1,0,0,1,5000,9500,1,1833
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,4,1,0,0,1,5000,9500,1,1833
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,5,1,0,0,1,5000,9500,1,1833
1.65,16,16,1,0,1,8,0,0,1.7,16,0.5,500,100000,10,0,1,10,1,0,0,1,5000,9500,1,1833
1.59,16,20,0.8,0,1,5,1,0,1.7,20,0.5,500,125000,10,0,1,1,1,0,0,1,5000,12000,0,750
1.665,16,20,0.8,0,1,5,1,0,1.7,20,0.5,500,125000,10,0,1,1,1,0,0,1,5000,12000,0,750
1.54,16,24,0.666666666666667,0,1,8,1,0,1.7,16,0.5,250,300000,10,0,1,1,1,0,0,1,2500,,1,937
1.555,16,24,0.666666666666667,0,1,8,1,0,1.7,16,0.5,250,150000,10,0,1,1,1,0,0,1,2500,14750,1,937
1.6,16,24,0.666666666666667,0,1,8,1,0,1.7,16,0.5,250,300000,10,0,1,1,1,0,0,1,2500,,1,937
1.6075,16,24,0.666666666666667,0,1,8,1,0,1.7,16,0.5,250,150000,10,0,1,1,1,0,0,1,2500,14750,1,437
1.515,16,32,0.5,0,1,8,1,0,1.7,32,0.5,500,175000,10,0,1,1,1,0,0,1,5000,17000,1,500
1.56,16,32,0.5,0,1,8,1,0,1.7,32,0.5,250,175000,10,0,1,1,1,0,0,1,2500,17250,1,583
1.46,16,40,0.4,0,1,8,1,0,1.7,40,0.5,500,200000,10,0,1,1,1,0,0,1,5000,19500,0,625
1.55,16,40,0.4,0,1,8,1,0,1.7,40,0.5,500,200000,10,0,1,1,1,0,0,1,5000,19500,0,1100
1.44,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,250000,10,0,1,1,1,0,0,1,10000,24000,0,272
1.5,16,48,0.333333,0,1,8,1,0,1.7,48,0.5,1000,250000,10,0,1,1,1,0,0,1,10000,24000,1,142
1.42,16,64,0.25,0,1,16,1,0,1.7,64,0.5,1000,300000,10,0,1,1,1,0,0,1,10000,29000,1,130
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,1,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,2,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,3,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,4,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,5,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,300000,10,0,1,10,1,0,0,1,10000,29000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,50000,10,0,1,1,2,0,0,1,10000,9000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,50000,10,0,1,1,4,0,0,1,10000,4000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,50000,10,0,1,1,10,0,0,1,10000,4000,1,37
1.49,16,64,0.25,0,1,8,1,0,1.7,64,0.5,1000,50000,10,0,1,2,2,0,0,1,10000,9000,1,37
1.39,16,80,0.2,0,1,16,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.4,16,80,0.2,0,1,8,1,0,1.7,64,0.5,1000,100000,10,0,1,1,1,0,0,1,10000,9000,1,
1.4,16,80,0.2,0,1,8,1,0,1.7,64,0.5,1000,100000,10,0,1,1,1,0,0,0,10000,9000,1,
1.4,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.41,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.42,16,80,0.2,0,1,20,1,0,1.7,64,0.5,500,200000,50,0,1,1,10,0,0,0,10000,,,
1.435,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,200000,50,0,1,1,10,0,0,0,10000,9000,1,
1.46,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.47,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.48,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,100000,50,0,1,1,10,0,0,0,10000,9000,1,
1.48,16,80,0.2,0,1,8,1,0,1.7,64,0.5,500,50000,50,0,1,1,10,0,0,1,10000,9000,1,
